b	eng	b	B	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
经	d	jing	E	O	O
任	r	ren	B	O	O
何	r	he	E	O	O
诊	v	zhen	B	O	O
治	v	zhi	E	O	O
，	x	，	S	O	O
近	t	jin	B	O	O
日	t	ri	E	O	O
上	b	shang	B	O	O
述	b	shu	E	O	O
症	n	zheng	B	O	O
状	n	zhuang	E	O	O
略	v	lve	B	O	O
有	v	you	E	O	O
加	v	jia	B	O	O
重	v	zhong	E	O	O
，	x	，	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
及	c	ji	S	O	O
家	n	jia	B	O	O
属	n	shu	E	O	O
为	v	wei	B	O	O
求	v	qiu	E	O	O
进	d	jin	B	O	O
一	d	yi	I	O	O
步	d	bu	E	O	O
治	v	zhi	B	O	O
疗	v	liao	E	O	O
来	v	lai	S	O	O
我	n	wo	B	O	O
院	n	yuan	E	O	O
就	v	jiu	B	O	O
诊	v	zhen	E	O	O
。	x	。	S	O	O
门	n	men	B	O	O
诊	n	zhen	E	O	O
经	vn	jing	B	O	O
查	vn	cha	E	O	O
体	v	ti	B	O	O
以	v	yi	E	O	O
腰	n	yao	B	DB	DB
椎	n	zhui	I	DI	DI
间	n	jian	I	DI	DI
盘	n	pan	E	DI	DI
突	v	tu	B	DI	DI
出	v	chu	E	DI	DI
症	zg	zheng	S	DE	DE
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O
3	m	3	S	O	O
.	m	.	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
自	p	zi	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
以	f	yi	B	O	O
来	f	lai	E	O	O
无	v	wu	S	O	O
头	n	tou	B	SB	SB
痛	n	tong	E	SI	SE
头	n	tou	B	SI	SB
晕	n	yun	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SI	SI
呕	v	ou	B	SI	SI
吐	v	tu	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	SB	SB
痛	n	tong	E	SI	SI
腹	v	fu	B	SI	SI
泻	v	xie	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
胸	n	xiong	B	SB	SB
闷	n	men	E	SI	SI
气	n	qi	B	SI	SI
短	n	duan	E	SE	SE
及	c	ji	S	O	O
呼	l	hu	B	O	O
吸	l	xi	I	O	O
困	l	kun	I	O	O
难	l	nan	E	O	O
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
二	m	er	B	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
4	m	4	S	O	O
.	m	.	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	eng	T	B	O	O
3	eng	3	I	O	O
6	eng	6	I	O	O
.	m	.	I	O	O
0	m	0	E	O	O
，	x	，	S	O	O
P	eng	P	B	O	O
7	eng	7	I	O	O
6	eng	6	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
R	eng	R	B	O	O
1	eng	1	I	O	O
8	eng	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
B	eng	B	B	O	O
P	eng	P	I	O	O
1	eng	1	I	O	O
3	eng	3	I	O	O
5	eng	5	E	O	O
/	x	/	S	O	O
9	m	9	B	O	O
0	m	0	I	O	O
m	eng	m	I	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
，	x	，	S	O	O
神	nr	shen	B	O	O
清	nr	qing	E	O	O
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
发	vn	fa	B	O	O
育	vn	yu	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
营	n	ying	B	O	O
养	n	yang	E	O	O
中	b	zhong	B	O	O
等	b	deng	E	O	O
，	x	，	S	O	O
言	nr	yan	B	O	O
语	nr	yu	E	O	O
流	n	liu	B	O	O
利	n	li	E	O	O
，	x	，	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
合	vn	he	B	O	O
作	vn	zuo	E	O	O
，	x	，	S	O	O
步	n	bu	B	O	O
入	n	ru	E	O	O
病	n	bing	B	O	O
房	n	fang	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
。	x	。	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	B	O	O
查	n	cha	I	O	O
体	n	ti	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
，	x	，	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
肛	n	gang	B	O	O
门	n	men	E	O	O
外	n	wai	B	O	O
生	n	sheng	I	O	O
殖	n	zhi	I	O	O
器	n	qi	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
。	x	。	S	O	O
腰	n	yao	B	O	O
椎	n	zhui	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
腰	n	yao	S	O	O
3	m	3	S	O	O
-	x	-	S	O	O
腰	n	yao	S	O	O
5	m	5	S	O	O
棘	n	ji	B	O	O
突	n	tu	E	O	O
及	c	ji	B	O	O
椎	n	zhui	I	O	O
旁	n	pang	E	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
叩	v	kou	B	O	O
击	v	ji	E	O	O
痛	a	tong	S	O	O
阳	n	yang	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
双	n	shuang	B	O	O
下	n	xia	I	O	O
肢	n	zhi	E	O	O
放	n	fang	B	O	O
射	n	she	I	O	O
性	n	xing	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
左	m	zuo	S	O	O
下	n	xia	B	O	O
肢	n	zhi	E	O	O
直	n	zhi	B	O	O
腿	n	tui	E	O	O
抬	v	tai	B	O	O
高	v	gao	E	O	O
实	vn	shi	B	O	O
验	vn	yan	E	O	O
6	m	6	B	O	O
0	m	0	E	O	O
度	q	du	S	O	O
，	x	，	S	O	O
右	f	you	S	O	O
下	n	xia	B	O	O
肢	n	zhi	E	O	O
直	n	zhi	B	O	O
腿	n	tui	E	O	O
抬	v	tai	B	O	O
高	v	gao	E	O	O
实	vn	shi	B	O	O
验	vn	yan	E	O	O
6	m	6	B	O	O
0	m	0	E	O	O
度	q	du	S	O	O
。	x	。	S	O	O
足	a	zu	S	O	O
背	v	bei	S	O	O
伸	v	shen	B	O	O
及	v	ji	E	O	O
跖	g	zhi	B	O	O
屈	v	qu	E	O	O
肌	n	ji	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
各	r	ge	S	O	O
足	n	zu	B	O	O
趾	n	zhi	E	O	O
关	n	guan	B	O	O
节	n	jie	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
可	v	ke	S	O	O
。	x	。	S	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
感	n	gan	B	O	O
觉	n	jue	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
肌	n	ji	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
肌	n	ji	S	O	O
张	n	zhang	B	O	O
力	n	li	E	O	O
不	d	bu	B	O	O
高	a	gao	E	O	O
。	x	。	S	O	O
足	a	zu	S	O	O
背	v	bei	S	O	O
动	n	dong	B	O	O
脉	n	mai	E	O	O
可	v	ke	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
，	x	，	S	O	O
末	n	mo	B	O	O
梢	n	shao	E	O	O
血	n	xie	B	O	O
运	n	yun	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	n	ce	E	O	O
肱	n	gong	S	O	O
二	m	er	S	O	O
、	x	、	S	O	O
三	m	san	B	O	O
头	m	tou	E	O	O
肌	n	ji	S	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
、	x	、	S	O	O
膝	n	xi	B	O	O
腱	n	jian	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	nz	ce	E	O	O
巴	nz	ba	B	O	O
彬	nz	bin	E	O	O
斯	nr	si	B	O	O
基	nr	ji	I	O	O
氏	nr	shi	E	O	O
征	v	zheng	S	O	O
、	x	、	S	O	O
克	m	ke	S	O	O
尼	nrt	ni	B	O	O
格	nrt	ge	E	O	O
氏	n	shi	B	O	O
征	n	zheng	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
5	x	5	S	O	O
辅	vn	fu	B	O	O
助	vn	zhu	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
：	x	：	S	O	O
无	v	wu	S	O	O

病	n	bing	B	O	O
历	n	li	E	O	O
特	n	te	B	O	O
点	n	dian	E	O	O
：	x	：	S	O	O
1	m	1	S	O	O
.	m	.	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
中	t	zhong	B	O	O
年	t	nian	E	O	O
男	n	nan	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
4	m	4	B	O	O
1	m	1	E	O	O
岁	m	sui	S	O	O
；	x	；	S	O	O
2	m	2	S	O	O
.	m	.	S	O	O
既	t	ji	B	O	O
往	t	wang	E	O	O
体	n	ti	B	O	O
健	n	jian	E	O	O
；	x	；	S	O	O
3	m	3	S	O	O
.	m	.	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
缘	p	yuan	B	O	O
于	p	yu	E	O	O
5	m	5	B	O	O
.	m	.	I	O	O
5	m	5	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
前	f	qian	S	O	O
被	p	bei	S	O	O
他	r	ta	B	O	O
人	r	ren	E	O	O
用	p	yong	S	O	O
拳	n	quan	B	O	O
打	n	da	E	O	O
伤	v	shang	S	O	O
左	m	zuo	S	O	O
面	f	mian	B	O	O
部	f	bu	E	O	O
，	x	，	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
臂	n	bi	E	O	O
，	x	，	S	O	O
用	p	yong	S	O	O
改	n	gai	B	O	O
锥	n	zhui	E	O	O
划	v	hua	B	O	O
伤	v	shang	E	O	O
前	f	qian	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
，	x	，	S	O	O
伤	v	shang	B	O	O
后	f	hou	E	O	O
自	d	zi	B	O	O
觉	d	jue	E	O	O
伤	n	shang	B	O	O
处	n	chu	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
持	n	chi	B	O	O
续	n	xu	I	O	O
性	n	xing	E	O	O
锐	a	rui	B	SB	SB
痛	a	tong	E	SE	SE
，	x	，	S	O	O
前	f	qian	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
划	v	hua	B	O	O
伤	v	shang	E	O	O
处	n	chu	S	O	O
出	v	chu	B	SB	SB
血	v	xie	E	SE	SE
，	x	，	S	O	O
伴	v	ban	S	O	O
头	n	tou	B	SB	O
晕	n	yun	E	SE	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SI	SI
呕	v	ou	B	SI	SI
吐	v	tu	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
肢	n	zhi	B	O	O
体	n	ti	E	O	O
麻	nr	ma	B	O	O
木	nr	mu	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
昏	v	hun	B	O	O
迷	v	mi	E	O	O
史	nr	shi	S	O	O
，	x	，	S	O	O
伤	v	shang	B	O	O
后	f	hou	E	O	O
于	p	yu	S	O	O
当	s	dang	B	O	O
地	s	di	E	O	O
未	d	wei	S	O	O
做	v	zuo	S	O	O
特	a	te	B	O	O
殊	a	shu	E	O	O
处	v	chu	B	O	O
理	v	li	E	O	O
，	x	，	S	O	O
急	d	ji	B	O	O
来	d	lai	E	O	O
我	n	wo	B	O	O
院	n	yuan	E	O	O
门	n	men	B	O	O
诊	n	zhen	E	O	O
就	v	jiu	B	O	O
诊	v	zhen	E	O	O
，	x	，	S	O	O
门	n	men	B	O	O
诊	n	zhen	E	O	O
查	v	cha	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
X	n	X	B	O	O
光	n	guang	E	O	O
片	n	pian	B	O	O
示	n	shi	E	O	O
：	x	：	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
门	n	men	B	O	O
诊	n	zhen	E	O	O
未	v	wei	B	O	O
予	v	yu	E	O	O
特	a	te	B	O	O
殊	a	shu	E	O	O
处	v	chu	B	O	O
理	v	li	E	O	O
，	x	，	S	O	O
以	p	yi	S	O	O
胸	n	xiong	B	DB	DB
部	n	bu	E	DI	DI
外	n	wai	B	DI	DI
伤	n	shang	E	DE	DE
介	v	jie	B	O	O
绍	v	shao	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
自	p	zi	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
以	f	yi	B	O	O
来	f	lai	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
头	n	tou	B	SB	SB
晕	n	yun	E	SI	SI
头	n	tou	B	SI	SI
痛	n	tong	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SI	SI
呕	v	ou	B	SI	SI
吐	v	tu	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
胸	n	xiong	B	SB	O
闷	n	men	E	SI	O
心	v	xin	B	SI	O
悸	v	ji	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
腹	v	fu	B	SB	SB
胀	v	zhang	E	SI	SI
腹	n	fu	B	SI	SI
痛	n	tong	E	SE	SE
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
大	nr	da	B	O	O
小	nr	xiao	I	O	O
便	nr	bian	E	O	O
均	d	jun	S	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
4	m	4	S	O	O
.	m	.	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	eng	T	B	O	O
3	eng	3	I	O	O
6	eng	6	I	O	O
.	m	.	I	O	O
0	m	0	E	O	O
C	eng	C	S	O	O
，	x	，	S	O	O
P	eng	P	B	O	O
9	eng	9	I	O	O
0	eng	0	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
1	m	1	B	O	O
8	m	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
B	eng	B	B	O	O
P	eng	P	I	O	O
1	eng	1	I	O	O
2	eng	2	I	O	O
0	eng	0	E	O	O
/	x	/	S	O	O
9	m	9	B	O	O
0	m	0	I	O	O
m	eng	m	I	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
,	x	,	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	B	O	O
查	n	cha	I	O	O
体	n	ti	E	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
专	n	zhuan	B	O	O
科	n	ke	E	O	O
情	n	qing	B	O	O
况	n	kuang	E	O	O
：	x	：	S	O	O
左	m	zuo	S	O	O
面	f	mian	B	O	O
部	f	bu	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
，	x	，	S	O	O
前	f	qian	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
正	d	zheng	B	O	O
中	d	zhong	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	B	O	O
长	a	chang	E	O	O
7	m	7	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
c	eng	c	B	O	O
m	eng	m	E	O	O
纵	v	zong	B	O	O
行	v	xing	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
划	v	hua	B	O	O
伤	v	shang	E	O	O
，	x	，	S	O	O
下	f	xia	B	O	O
方	f	fang	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	B	O	O
长	a	chang	E	O	O
2	m	2	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
c	eng	c	B	O	O
m	eng	m	E	O	O
横	v	heng	B	O	O
行	v	xing	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
划	v	hua	B	O	O
伤	v	shang	E	O	O
，	x	，	S	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
发	v	fa	B	SB	SB
红	v	hong	E	SE	SE
，	x	，	S	O	O
渗	v	shen	B	SB	SB
血	v	xie	E	SE	SE
，	x	，	S	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	S	O	O
清	a	qing	B	O	O
晰	a	xi	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
啰	zg	luo	S	O	O
音	n	yin	S	O	O
，	x	，	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
挤	v	ji	B	O	O
压	v	ya	E	O	O
实	vn	shi	B	O	O
验	vn	yan	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
右	f	you	S	O	O
上	f	shang	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	S	O	O
2	m	2	B	O	O
.	m	.	I	O	O
0	m	0	E	O	O
c	eng	c	B	O	O
m	eng	m	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
划	v	hua	B	O	O
伤	v	shang	E	O	O
，	x	，	S	O	O
轻	a	qing	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
腹	ng	fu	B	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
全	n	quan	B	O	O
服	n	fu	E	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
；	x	；	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
臂	n	bi	E	O	O
上	f	shang	S	O	O
段	q	duan	S	O	O
内	f	nei	B	O	O
侧	f	ce	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
青	nr	qing	B	SB	O
紫	nr	zi	E	SI	O
瘀	n	yu	B	SI	SB
斑	n	ban	E	SE	SE
，	x	，	S	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
肢	n	zhi	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
自	r	zi	B	O	O
如	r	ru	E	O	O
。	x	。	S	O	O
5	m	5	S	O	O
.	m	.	S	O	O
辅	vn	fu	B	O	O
助	vn	zhu	E	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
：	x	：	S	O	O
本	n	ben	B	O	O
院	n	yuan	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
X	n	X	B	O	O
光	n	guang	E	O	O
片	n	pian	B	O	O
示	n	shi	E	O	O
：	x	：	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O

1	x	1	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
女	n	nv	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
3	m	3	B	O	O
1	m	1	E	O	O
岁	m	sui	S	O	O
2	m	2	S	O	O
既	t	ji	B	O	O
往	t	wang	E	O	O
曾	d	ceng	B	O	O
于	p	yu	E	O	O
承	ns	cheng	B	O	O
德	ns	de	I	O	O
市	ns	shi	E	O	O
2	m	2	B	O	O
6	m	6	I	O	O
6	m	6	E	O	O
医	n	yi	B	O	O
院	n	yuan	E	O	O
行	zg	xing	S	O	O
颈	n	jing	B	O	O
椎	n	zhui	E	O	O
手	n	shou	B	O	O
术	n	shu	E	O	O
（	x	（	S	O	O
具	a	ju	B	O	O
体	a	ti	E	O	O
不	v	bu	B	O	O
详	v	xiang	E	O	O
）	x	）	S	O	O
。	x	。	S	O	O
1	x	1	S	O	O
年	t	nian	B	O	O
前	t	qian	E	O	O
曾	d	ceng	B	O	O
于	p	yu	E	O	O
承	ns	cheng	B	O	O
德	ns	de	I	O	O
市	ns	shi	E	O	O
市	n	shi	S	O	O
医	n	yi	B	O	O
院	n	yuan	E	O	O
行	zg	xing	S	O	O
宫	n	gong	B	O	O
颈	n	jing	E	O	O
楔	n	xie	B	O	O
形	n	xing	E	O	O
切	l	qie	B	O	O
除	l	chu	I	O	O
术	l	shu	E	O	O
。	x	。	S	O	O
否	v	fou	B	O	O
认	v	ren	E	O	O
高	n	gao	B	DB	DB
血	n	xie	I	DI	DI
压	n	ya	E	DE	DE
、	x	、	S	O	O
糖	n	tang	B	DB	DB
尿	n	niao	I	DI	DI
病	n	bing	E	DE	DE
、	x	、	S	O	O
心	n	xin	B	DB	DB
脏	n	zang	I	DI	DI
病	n	bing	E	DE	DE
病	n	bing	B	O	O
史	n	shi	E	O	O
。	x	。	S	O	O
否	v	fou	B	O	O
认	v	ren	E	O	O
食	n	shi	B	O	O
物	n	wu	E	O	O
药	n	yao	B	O	O
物	n	wu	E	O	O
过	n	guo	B	O	O
敏	n	min	I	O	O
史	n	shi	E	O	O
。	x	。	S	O	O
3	x	3	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
缘	p	yuan	B	O	O
于	p	yu	E	O	O
1	m	1	B	O	O
1	m	1	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
前	f	qian	S	O	O
无	v	wu	S	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
诱	n	you	B	O	O
因	n	yin	E	O	O
出	v	chu	B	O	O
现	v	xian	E	O	O
脐	ng	qi	S	O	O
周	f	zhou	B	O	O
部	f	bu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
。	x	。	S	O	O
呈	v	cheng	S	O	O
持	n	chi	B	O	O
续	n	xu	I	O	O
性	n	xing	E	O	O
钝	a	dun	S	SB	SB
痛	a	tong	S	SE	SE
，	x	，	S	O	O
渐	n	jian	B	O	O
进	n	jin	I	O	O
性	n	xing	E	O	O
加	v	jia	B	O	O
重	v	zhong	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
阵	n	zhen	B	O	O
发	n	fa	I	O	O
性	n	xing	E	O	O
加	v	jia	B	O	O
重	v	zhong	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
放	v	fang	B	SB	SB
射	v	she	E	SI	SI
痛	a	tong	S	SE	SE
，	x	，	S	O	O
与	p	yu	S	O	O
体	n	ti	B	O	O
位	n	wei	E	O	O
改	v	gai	B	O	O
变	v	bian	E	O	O
无	v	wu	B	O	O
关	v	guan	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SI	SE
、	x	、	S	SI	O
呕	v	ou	B	SI	SB
吐	v	tu	E	SE	SE
。	x	。	S	O	O
无	v	wu	S	O	O
腹	v	fu	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
腹	n	fu	B	SB	SB
痛	n	tong	E	SE	SE
渐	d	jian	B	O	O
转	v	zhuan	E	O	O
至	v	zhi	S	O	O
下	n	xia	B	O	O
腹	n	fu	I	O	O
部	n	bu	E	O	O
。	x	。	S	O	O
寒	n	han	B	O	SB
战	n	zhan	E	O	SE
，	x	，	S	O	O
体	n	ti	B	O	O
温	n	wen	E	O	O
未	v	wei	B	O	O
测	v	ce	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
腹	v	fu	B	SB	O
泻	v	xie	E	SE	O
。	x	。	S	O	O
小	nr	xiao	B	O	O
便	nr	bian	E	O	O
无	v	wu	S	O	O
尿	n	niao	B	O	O
频	n	pin	E	O	O
、	x	、	S	O	O
尿	n	niao	B	O	O
急	n	ji	E	O	O
。	x	。	S	O	O
今	t	jin	B	O	O
日	t	ri	E	O	O
来	v	lai	S	O	O
我	n	wo	B	O	O
院	n	yuan	E	O	O
就	v	jiu	B	O	O
诊	v	zhen	E	O	O
。	x	。	S	O	O
门	n	men	B	O	O
诊	n	zhen	E	O	O
查	v	cha	S	O	O
血	n	xie	B	O	O
常	n	chang	I	O	O
规	n	gui	E	O	O
回	v	hui	B	O	O
报	v	bao	E	O	O
：	x	：	S	O	O
白	n	bai	B	O	O
细	n	xi	I	O	O
胞	n	bao	E	O	O
数	n	shu	S	O	O
1	m	1	B	O	O
7	m	7	I	O	O
.	m	.	I	O	O
3	m	3	I	O	O
2	m	2	E	O	O
*	x	*	S	O	O
1	m	1	B	O	O
0	m	0	E	O	O
^	x	^	S	O	O
9	x	9	S	O	O
/	x	/	S	O	O
L	x	L	S	O	O
，	x	，	S	O	O
中	n	zhong	B	O	O
性	n	xing	E	O	O
