b	b	O	O
，	，	O	O
被	bei	O	O
动	dong	O	O
体	ti	O	O
位	wei	O	O
，	，	O	O
轮	lun	O	O
椅	yi	O	O
推	tui	O	O
入	ru	O	O
病	bing	O	O
房	fang	O	O
,	,	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
全	quan	O	O
身	shen	O	O
皮	pi	O	O
肤	fu	O	O
粘	zhan	O	O
膜	mo	O	O
未	wei	O	O
见	jian	O	O
黄	huang	SB	SB
染	ran	SE	SE
、	、	O	O
出	chu	SB	SB
血	xie	SI	SI
点	dian	SE	SE
及	ji	O	O
斑	ban	SB	SB
丘	qiu	SI	SI
疹	zhen	SE	SE
，	，	O	O
双	shuang	O	O
侧	ce	O	O
颈	jing	O	O
部	bu	O	O
、	、	O	O
锁	suo	O	O
骨	gu	O	O
上	shang	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
肿	zhong	O	O
大	da	O	O
，	，	O	O
质	zhi	O	O
硬	ying	O	O
，	，	O	O
活	huo	O	O
动	dong	O	O
差	cha	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
；	；	O	O
头	tou	O	O
颅	lu	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
眼	yan	O	O
睑	jian	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
，	，	O	O
睑	jian	O	O
结	jie	O	O
膜	mo	O	O
无	wu	O	O
苍	cang	O	O
白	bai	O	O
、	、	O	O
充	chong	O	SB
血	xie	O	SE
。	。	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
外	wai	O	O
耳	er	O	O
道	dao	O	O
通	tong	O	O
畅	chang	O	O
，	，	O	O
无	wu	O	O
分	fen	O	O
泌	mi	O	O
物	wu	O	O
，	，	O	O
听	ting	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
鼻	bi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
无	wu	O	O
鼻	bi	O	O
甲	jia	O	O
肥	fei	O	O
大	da	O	O
，	，	O	O
各	ge	O	O
鼻	bi	O	O
窦	dou	O	O
压	ya	O	O
痛	tong	O	O
点	dian	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
口	kou	O	O
唇	chun	O	O
无	wu	O	O
苍	cang	O	SB
白	bai	O	SE
，	，	O	O
咽	yan	O	O
无	wu	O	O
充	chong	O	SB
血	xie	O	SE
，	，	O	O
双	shuang	O	O
侧	ce	O	O
扁	bian	O	O
桃	tao	O	O
腺	xian	O	O
不	bu	O	O
大	da	O	O
。	。	O	O
颈	jing	O	O
左	zuo	O	O
右	you	O	O
对	dui	O	O
称	cheng	O	O
，	，	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
，	，	O	O
无	wu	O	O
静	jing	O	O
脉	mai	O	O
怒	nu	SB	SB
张	zhang	SE	SE
及	ji	O	O
颈	jing	O	O
动	dong	O	O
脉	mai	O	O
异	yi	SB	SB
常	chang	SI	SI
搏	bo	SI	SI
动	dong	SE	SE
。	。	O	O
气	qi	O	O
管	guan	O	O
居	ju	O	O
中	zhong	O	O
，	，	O	O
甲	jia	O	O
状	zhuang	O	O
腺	xian	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
血	xie	O	O
管	guan	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
胸	xiong	O	O
廓	kuo	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
呼	hu	O	O
吸	xi	O	O
动	dong	O	O
度	du	O	O
两	liang	O	O
侧	ce	O	O
均	jun	O	O
匀	yun	O	O
等	deng	O	O
，	，	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
双	shuang	O	O
侧	ce	O	O
语	yu	O	O
颤	zhan	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
皮	pi	O	O
下	xia	O	O
捻	nian	O	O
发	fa	O	O
音	yin	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
扣	kou	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
肺	fei	O	O
肝	gan	O	O
相	xiang	O	O
对	dui	O	O
浊	zhuo	O	O
音	yin	O	O
界	jie	O	O
位	wei	O	O
于	yu	O	O
右	you	O	O
侧	ce	O	O
锁	suo	O	O
骨	gu	O	O
中	zhong	O	O
线	xian	O	O
第	di	O	O
5	5	O	O
肋	lei	O	O
间	jian	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
9	9	O	O
2	2	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	O	SB
脉	mai	O	SI
曲	qu	O	SI
张	zhang	O	SE
，	，	O	O
下	xia	O	O
腹	fu	O	O
部	bu	O	O
部	bu	O	O
分	fen	O	O
皮	pi	O	O
肤	fu	O	O
溃	kui	O	O
破	po	O	O
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	O	SB
大	da	O	SE
，	，	O	O
下	xia	O	O
腹	fu	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	O	O
块	kuai	O	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
，	，	O	O
肛	gang	O	O
门	men	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
，	，	O	O
外	wai	O	O
生	sheng	O	O
殖	zhi	O	O
器	qi	O	O
见	jian	O	O
专	zhuan	O	O
科	ke	O	O
情	qing	O	O
况	kuang	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	O	SB
形	xing	O	SE
，	，	O	O
腰	yao	O	O
部	bu	O	O
以	yi	O	O
下	xia	O	O
感	gan	O	O
觉	jue	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
全	quan	O	O
部	bu	O	O
丧	sang	O	O
失	shi	O	O
活	huo	O	O
动	dong	O	O
能	neng	O	O
力	li	O	O
，	，	O	O
双	shuang	O	O
下	xia	O	O
肢	zhi	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肱	gong	O	O
二	er	O	O
、	、	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
巴	ba	O	O
彬	bin	O	O
斯	si	O	O
基	ji	O	O
氏	shi	O	O
征	zheng	O	O
、	、	O	O
克	ke	O	O
尼	ni	O	O
格	ge	O	O
氏	shi	O	O
征	zheng	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
5	5	O	O
.	.	O	O
专	zhuan	O	O
科	ke	O	O
情	qing	O	O
况	kuang	O	O
：	：	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
行	xing	O	O
区	qu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
、	、	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
。	。	O	O
耻	chi	O	O
骨	gu	O	O
上	shang	O	O
膀	bang	O	O
胱	guang	O	O
区	qu	O	O
隆	long	O	SB
起	qi	O	SE
，	，	O	O
叩	kou	O	O
浊	zhuo	O	O
音	yin	O	O
，	，	O	O
压	ya	O	O
痛	tong	O	O
明	ming	O	O
显	xian	O	O
。	。	O	O
外	wai	O	O
生	sheng	O	O
殖	zhi	O	O
器	qi	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
6	6	O	O
.	.	O	O
辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
2	2	O	O
0	0	O	O
1	1	O	O
5	5	O	O
0	0	O	O
7	7	O	O
2	2	O	O
0	0	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
中	zhong	O	O
心	xin	O	O
医	yi	O	O
院	yuan	O	O
电	dian	O	O
子	zi	O	O
支	zhi	O	O
气	qi	O	O
管	guan	O	O
镜	jing	O	O
示	shi	O	O
：	：	O	O
右	you	O	O
肺	fei	O	O
上	shang	O	O
叶	ye	O	O
见	jian	O	O
隆	long	O	O
起	qi	O	O
型	xing	O	O
新	xin	O	O
生	sheng	O	O
物	wu	O	O
堵	du	O	O
塞	sai	O	O
管	guan	O	O
腔	qiang	O	O
，	，	O	O
质	zhi	O	O
脆	cui	O	O
，	，	O	O
易	yi	O	O
出	chu	O	SB
血	xie	O	SE
；	；	O	O
2	2	O	O
0	0	O	O
1	1	O	O
5	5	O	O
0	0	O	O
7	7	O	O
2	2	O	O
2	2	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
中	zhong	O	O
心	xin	O	O
医	yi	O	O
院	yuan	O	O
电	dian	O	O
子	zi	O	O
支	zhi	O	O
气	qi	O	O
管	guan	O	O
镜	jing	O	O
活	huo	O	O
检	jian	O	O
病	bing	O	O
理	li	O	O
示	shi	O	O
：	：	O	O
考	kao	O	O
虑	lv	O	O
小	xiao	O	O
细	xi	O	O
胞	bao	O	O
癌	ai	O	O
；	；	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
0	0	O	O
1	1	O	O
1	1	O	O
2	2	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
中	zhong	O	O
心	xin	O	O
医	yi	O	O
院	yuan	O	O
胸	xiong	O	O
部	bu	O	O
C	C	O	O
T	T	O	O
示	shi	O	O
：	：	O	O
右	you	O	O
肺	fei	O	O
小	xiao	O	O
结	jie	O	O
节	jie	O	O
影	ying	O	O
增	zeng	O	O
多	duo	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
纹	wen	O	O
理	li	O	O
增	zeng	O	O
多	duo	O	O
；	；	O	O
纵	zong	O	O
膈	ge	O	O
内	nei	O	O
及	ji	O	O
右	you	O	O
肺	fei	O	O
门	men	O	O
多	duo	O	O
发	fa	O	O
结	jie	O	O
节	jie	O	O
影	ying	O	O
，	，	O	O
右	you	O	O
侧	ce	O	O
局	ju	O	O
部	bu	O	O
胸	xiong	O	O
膜	mo	O	O
增	zeng	O	O
厚	hou	O	O
；	；	O	O
超	chao	O	O
声	sheng	O	O
示	shi	O	O
：	：	O	O
肝	gan	O	O
大	da	O	O
不	bu	O	O
均	jun	O	O
匀	yun	O	O
性	xing	O	O
脂	zhi	O	O
肪	fang	O	O
肝	gan	O	O
，	，	O	O
多	duo	O	O
发	fa	O	O
实	shi	O	O
性	xing	O	O
站	zhan	O	O
位	wei	O	O
性	xing	O	O
病	bing	O	O
变	bian	O	O
；	；	O	O
双	shuang	O	O
颈	jing	O	O
部	bu	O	O
及	ji	O	O
锁	suo	O	O
骨	gu	O	O
上	shang	O	O
多	duo	O	O
发	fa	O	O
肿	zhong	O	O
大	da	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
。	。	O	O

1	1	O	O

患	huan	O	O
者	zhe	O	O
女	nv	O	O
5	5	O	O
9	9	O	O
岁	sui	O	O

2	2	O	O
既	ji	O	O
往	wang	O	O
高	gao	DB	DB
血	xie	DI	DI
压	ya	DE	DE
病	bing	O	O
史	shi	O	O
1	1	O	O
0	0	O	O
年	nian	O	O
，	，	O	O
平	ping	O	O
时	shi	O	O
间	jian	O	O
断	duan	O	O
口	kou	O	O
服	fu	O	O
药	yao	O	O
物	wu	O	O
控	kong	O	O
制	zhi	O	O
（	（	O	O
具	ju	O	O
体	ti	O	O
药	yao	O	O
名	ming	O	O
药	yao	O	O
量	liang	O	O
不	bu	O	O
详	xiang	O	O
）	）	O	O
，	，	O	O
血	xie	O	O
压	ya	O	O
控	kong	O	O
制	zhi	O	O
不	bu	O	O
理	li	O	O
想	xiang	O	O
。	。	O	O

3	3	O	O

患	huan	O	O
者	zhe	O	O
缘	yuan	O	O
于	yu	O	O
2	2	O	O
小	xiao	O	O
时	shi	O	O
前	qian	O	O
无	wu	O	O
明	ming	O	O
显	xian	O	O
诱	you	O	O
因	yin	O	O
出	chu	O	O
现	xian	O	O
左	zuo	O	O
腹	fu	O	O
部	bu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
呈	cheng	O	O
阵	zhen	O	O
发	fa	O	O
性	xing	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
剧	ju	O	O
烈	lie	O	O
难	nan	O	O
忍	ren	O	O
。	。	O	O
疼	teng	SB	O
痛	tong	SE	O
向	xiang	O	O
左	zuo	O	O
侧	ce	O	O
腰	yao	O	O
部	bu	O	O
放	fang	SB	SB
射	she	SI	SI
痛	tong	SE	SE
。	。	O	O
伴	ban	O	O
有	you	O	O
恶	e	SB	SB
心	xin	SE	SE
，	，	O	O
无	wu	O	O
呕	ou	SB	SB
吐	tu	SE	SE
。	。	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
无	wu	O	O
尿	niao	O	O
频	pin	O	O
、	、	O	O
尿	niao	O	O
急	ji	O	O
、	、	O	O
尿	niao	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
肉	rou	O	O
眼	yan	O	O
血	xie	O	O
尿	niao	O	O
。	。	O	O
未	wei	O	O
予	yu	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
为	wei	O	O
求	qiu	O	O
诊	zhen	O	O
治	zhi	O	O
来	lai	O	O
到	dao	O	O
我	wo	O	O
院	yuan	O	O
就	jiu	O	O
诊	zhen	O	O
，	，	O	O
门	men	O	O
诊	zhen	O	O
经	jing	O	O
泌	mi	O	O
尿	niao	O	O
系	xi	O	O
超	chao	O	O
声	sheng	O	O
、	、	O	O
尿	niao	O	O
常	chang	O	O
规	gui	O	O
检	jian	O	O
查	cha	O	O
后	hou	O	O
以	yi	O	O
左	zuo	DB	DB
侧	ce	DI	DI
输	shu	DI	DI
尿	niao	DI	DI
管	guan	DI	DI
结	jie	DI	DI
石	shi	DE	DE
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
4	4	O	O
.	.	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
：	：	O	O
3	3	O	O
6	6	O	O
.	.	O	O
9	9	O	O
C	C	O	O
，	，	O	O
P	P	O	O
:	:	O	O
9	9	O	O
6	6	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
R	R	O	O
：	：	O	O
2	2	O	O
0	0	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
B	B	O	O
p	p	O	O
：	：	O	O
1	1	O	O
7	7	O	O
0	0	O	O
/	/	O	O
1	1	O	O
2	2	O	O
0	0	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
。	。	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
问	wen	O	O
答	da	O	O
切	qie	O	O
题	ti	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
6	6	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	O	SB
大	da	O	SE
，	，	O	O
腹	fu	O	O
部	bu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	O	O
块	kuai	O	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
（	（	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
）	）	O	O
。	。	O	O
5	5	O	O

专	zhuan	O	O
科	ke	O	O
情	qing	O	O
况	kuang	O	O
：	：	O	O
双	shuang	O	O
侧	ce	O	O
肋	lei	O	O
脊	ji	O	O
角	jiao	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
无	wu	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
块	kuai	SE	SE
。	。	O	O
右	you	O	O
腹	fu	O	O
部	bu	O	O
沿	yan	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
行	xing	O	O
区	qu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
左	zuo	O	O
腹	fu	O	O
部	bu	O	O
沿	yan	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
行	xing	O	O
区	qu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
耻	chi	O	O
骨	gu	O	O
上	shang	O	O
膀	bang	O	O
胱	guang	O	O
区	qu	O	O
无	wu	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
外	wai	O	O
阴	yin	O	O
为	wei	O	O
成	cheng	O	O
人	ren	O	O
型	xing	O	O
，	，	O	O
尿	niao	O	O
道	dao	O	O
外	wai	O	O
口	kou	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
无	wu	O	O
红	hong	SB	SB
肿	zhong	SI	SE
及	ji	SI	O
狭	xia	SI	SB
窄	zhai	SE	SE
，	，	O	O
无	wu	O	O
异	yi	O	O
常	chang	O	O
分	fen	O	O
泌	mi	O	O
物	wu	O	O
。	。	O	O
6	6	O	O

辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
彩	cai	O	O
超	chao	O	O
检	jian	O	O
查	cha	O	O
回	hui	O	O
报	bao	O	O
：	：	O	O
左	zuo	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
结	jie	O	O
石	shi	O	O
。	。	O	O
尿	niao	O	O
常	chang	O	O
规	gui	O	O
回	hui	O	O
报	bao	O	O
示	shi	O	O
：	：	O	O
红	hong	O	O
细	xi	O	O
胞	bao	O	O
1	1	O	O
0	0	O	O
9	9	O	O
2	2	O	O
/	/	O	O
u	u	O	O
l	l	O	O
，	，	O	O
白	bai	O	O
细	xi	O	O
胞	bao	O	O
4	4	O	O
8	8	O	O
/	/	O	O
u	u	O	O
l	l	O	O
,	,	O	O
潜	qian	O	O
血	xie	O	O
3	3	O	O
+	+	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
缘	yuan	O	O
于	yu	O	O
3	3	O	O
年	nian	O	O
前	qian	O	O
出	chu	O	O
现	xian	O	O
排	pai	O	O
便	bian	O	O
困	kun	O	O
难	nan	O	O
，	，	O	O
大	da	O	O
便	bian	O	O
干	gan	O	O
燥	zao	O	O
，	，	O	O
排	pai	O	O
便	bian	O	O
无	wu	O	O
力	li	O	O
。	。	O	O
自	zi	O	O
行	xing	O	O
保	bao	O	O
守	shou	O	O
治	zhi	O	O
疗	liao	O	O
。	。	O	O
今	jin	O	O
来	lai	O	O
我	wo	O	O
院	yuan	O	O
就	jiu	O	O
诊	zhen	O	O
。	。	O	O
门	men	O	O
诊	zhen	O	O
以	yi	O	O
混	hun	DB	O
合	he	DI	O
痔	zhi	DE	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
查	cha	O	O
：	：	O	O
肛	gang	O	O
门	men	O	O
胸	xiong	O	O
膝	xi	O	O
位	wei	O	O
6	6	O	O
点	dian	O	O
、	、	O	O
1	1	O	O
2	2	O	O
点	dian	O	O
可	ke	O	O
见	jian	O	O
有	you	O	O
肿	zhong	O	SB
物	wu	O	SE
脱	tuo	O	O
出	chu	O	O
肛	gang	O	O
门	men	O	O
缘	yuan	O	O
，	，	O	O
各	ge	O	O
大	da	O	O
约	yue	O	O
2	2	O	O
厘	li	O	O
米	mi	O	O
大	da	O	O
小	xiao	O	O
，	，	O	O
肛	gang	O	O
门	men	O	O
指	zhi	O	O
诊	zhen	O	O
：	：	O	O
距	ju	O	O
离	li	O	O
肛	gang	O	O
门	men	O	O
缘	yuan	O	O
大	da	O	O
约	yue	O	O
3	3	O	O
厘	li	O	O
米	mi	O	O
可	ke	O	O
触	chu	O	O
及	ji	O	O
空	kong	O	O
虚	xu	O	O
感	gan	O	O
，	，	O	O
深	shen	O	O
度	du	O	O
大	da	O	O
约	yue	O	O
2	2	O	O
厘	li	O	O
米	mi	O	O
，	，	O	O
直	zhi	O	O
肠	chang	O	O
镜	jing	O	O
检	jian	O	O
查	cha	O	O
显	xian	O	O
示	shi	O	O
:	:	O	O
3	3	O	O
、	、	O	O
5	5	O	O
、	、	O	O
7	7	O	O
、	、	O	O
9	9	O	O
、	、	O	O
1	1	O	O
1	1	O	O
点	dian	O	O
有	you	O	O
痔	zhi	O	O
核	he	O	O
，	，	O	O
累	lei	O	O
及	ji	O	O
齿	chi	O	O
线	xian	O	O
上	shang	O	O
下	xia	O	O
，	，	O	O
色	se	O	O
青	qing	O	O
紫	zi	O	O
。	。	O	O

主	zhu	O	O
因	yin	O	O
排	pai	O	O
便	bian	O	O
困	kun	O	O
难	nan	O	O
3	3	O	O
年	nian	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
查	cha	O	O
：	：	O	O
肛	gang	O	O
门	men	O	O
胸	xiong	O	O
膝	xi	O	O
位	wei	O	O
6	6	O	O
点	dian	O	O
、	、	O	O
1	1	O	O
2	2	O	O
点	dian	O	O
可	ke	O	O
见	jian	O	O
有	you	O	O
肿	zhong	O	SB
物	wu	O	SE
脱	tuo	O	O
出	chu	O	O
肛	gang	O	O
门	men	O	O
缘	yuan	O	O
，	，	O	O
各	ge	O	O
大	da	O	O
约	yue	O	O
2	2	O	O
厘	li	O	O
米	mi	O	O
大	da	O	O
小	xiao	O	O
，	，	O	O
肛	gang	O	O
门	men	O	O
指	zhi	O	O
诊	zhen	O	O
：	：	O	O
距	ju	O	O
离	li	O	O
肛	gang	O	O
门	men	O	O
缘	yuan	O	O
大	da	O	O
约	yue	O	O
3	3	O	O
厘	li	O	O
米	mi	O	O
可	ke	O	O
触	chu	O	O
及	ji	O	O
空	kong	O	O
虚	xu	O	O
感	gan	O	O
，	，	O	O
深	shen	O	O
度	du	O	O
大	da	O	O
约	yue	O	O
2	2	O	O
厘	li	O	O
米	mi	O	O
，	，	O	O
直	zhi	O	O
肠	chang	O	O
镜	jing	O	O
检	jian	O	O
查	cha	O	O
显	xian	O	O
示	shi	O	O
:	:	O	O
3	3	O	O
、	、	O	O
5	5	O	O
、	、	O	O
