b	b	B	O	O
中	zhong	B	O	O
线	xian	E	O	O
第	di	S	O	O
5	5	S	O	O
肋	lei	B	O	O
间	jian	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	B	O	O
罗	luo	I	O	O
音	yin	E	O	O
。	。	S	O	O
心	xin	B	O	O
前	qian	E	O	O
区	qu	S	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
震	zhen	B	O	O
颤	zhan	E	O	O
，	，	S	O	O
叩	kou	B	O	O
心	xin	I	O	O
界	jie	E	O	O
不	bu	B	O	O
大	da	E	O	O
，	，	S	O	O
心	xin	B	O	O
率	lv	E	O	O
9	9	B	O	O
2	2	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	O	SB
脉	mai	I	O	SI
曲	qu	I	O	SI
张	zhang	E	O	SE
，	，	S	O	O
下	xia	B	O	O
腹	fu	I	O	O
部	bu	E	O	O
部	bu	B	O	O
分	fen	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
溃	kui	B	O	O
破	po	E	O	O
。	。	S	O	O
腹	fu	B	O	O
软	ruan	E	O	O
，	，	S	O	O
肝	gan	B	O	O
脾	pi	I	O	O
未	wei	E	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	O	SB
大	da	E	O	SE
，	，	S	O	O
下	xia	B	O	O
腹	fu	I	O	O
部	bu	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	B	O	O
反	fan	E	O	O
跳	tiao	S	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	O	O
块	kuai	E	O	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
，	，	S	O	O
肛	gang	B	O	O
门	men	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
，	，	S	O	O
外	wai	B	O	O
生	sheng	I	O	O
殖	zhi	I	O	O
器	qi	E	O	O
见	jian	S	O	O
专	zhuan	B	O	O
科	ke	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
四	si	B	O	O
肢	zhi	E	O	O
无	wu	S	O	O
畸	ji	B	O	SB
形	xing	E	O	SE
，	，	S	O	O
腰	yao	B	O	O
部	bu	E	O	O
以	yi	B	O	O
下	xia	E	O	O
感	gan	B	O	O
觉	jue	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
全	quan	B	O	O
部	bu	E	O	O
丧	sang	B	O	O
失	shi	E	O	O
活	huo	B	O	O
动	dong	E	O	O
能	neng	B	O	O
力	li	E	O	O
，	，	S	O	O
双	shuang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
无	wu	S	O	O
水	shui	B	SB	SB
肿	zhong	E	SE	SE
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肱	gong	S	O	O
二	er	S	O	O
、	、	S	O	O
三	san	B	O	O
头	tou	E	O	O
肌	ji	S	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
膝	xi	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
未	wei	S	O	O
引	yin	B	O	O
出	chu	E	O	O
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
巴	ba	B	O	O
彬	bin	E	O	O
斯	si	B	O	O
基	ji	I	O	O
氏	shi	E	O	O
征	zheng	S	O	O
、	、	S	O	O
克	ke	S	O	O
尼	ni	B	O	O
格	ge	E	O	O
氏	shi	B	O	O
征	zheng	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
5	5	S	O	O
.	.	S	O	O
专	zhuan	B	O	O
科	ke	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
：	：	S	O	O
双	shuang	S	O	O
肾	shen	B	O	O
区	qu	E	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
输	shu	B	O	O
尿	niao	I	O	O
管	guan	E	O	O
走	zou	B	O	O
行	xing	I	O	O
区	qu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
、	、	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
。	。	S	O	O
耻	chi	B	O	O
骨	gu	E	O	O
上	shang	S	O	O
膀	bang	B	O	O
胱	guang	E	O	O
区	qu	S	O	O
隆	long	B	O	SB
起	qi	E	O	SE
，	，	S	O	O
叩	kou	S	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
，	，	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
明	ming	B	O	O
显	xian	E	O	O
。	。	S	O	O
外	wai	B	O	O
生	sheng	I	O	O
殖	zhi	I	O	O
器	qi	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O
6	6	S	O	O
.	.	S	O	O
辅	fu	B	O	O
助	zhu	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
5	5	I	O	O
0	0	I	O	O
7	7	I	O	O
2	2	I	O	O
0	0	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
中	zhong	B	O	O
心	xin	I	O	O
医	yi	I	O	O
院	yuan	E	O	O
电	dian	B	O	O
子	zi	E	O	O
支	zhi	B	O	O
气	qi	I	O	O
管	guan	I	O	O
镜	jing	E	O	O
示	shi	S	O	O
：	：	S	O	O
右	you	B	O	O
肺	fei	E	O	O
上	shang	B	O	O
叶	ye	I	O	O
见	jian	E	O	O
隆	long	B	O	O
起	qi	E	O	O
型	xing	S	O	O
新	xin	S	O	O
生	sheng	B	O	O
物	wu	E	O	O
堵	du	B	O	O
塞	sai	E	O	O
管	guan	B	O	O
腔	qiang	E	O	O
，	，	S	O	O
质	zhi	B	O	O
脆	cui	E	O	O
，	，	S	O	O
易	yi	S	O	O
出	chu	B	O	SB
血	xie	E	O	SE
；	；	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
5	5	I	O	O
0	0	I	O	O
7	7	I	O	O
2	2	I	O	O
2	2	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
中	zhong	B	O	O
心	xin	I	O	O
医	yi	I	O	O
院	yuan	E	O	O
电	dian	B	O	O
子	zi	E	O	O
支	zhi	B	O	O
气	qi	I	O	O
管	guan	I	O	O
镜	jing	E	O	O
活	huo	B	O	O
检	jian	E	O	O
病	bing	B	O	O
理	li	E	O	O
示	shi	S	O	O
：	：	S	O	O
考	kao	B	O	O
虑	lv	E	O	O
小	xiao	S	O	O
细	xi	B	O	O
胞	bao	E	O	O
癌	ai	S	O	O
；	；	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	I	O	O
0	0	I	O	O
1	1	I	O	O
1	1	I	O	O
2	2	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
中	zhong	B	O	O
心	xin	I	O	O
医	yi	I	O	O
院	yuan	E	O	O
胸	xiong	B	O	O
部	bu	E	O	O
C	C	B	O	O
T	T	E	O	O
示	shi	S	O	O
：	：	S	O	O
右	you	B	O	O
肺	fei	E	O	O
小	xiao	S	O	O
结	jie	B	O	O
节	jie	E	O	O
影	ying	S	O	O
增	zeng	B	O	O
多	duo	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
纹	wen	B	O	O
理	li	E	O	O
增	zeng	B	O	O
多	duo	E	O	O
；	；	S	O	O
纵	zong	B	O	O
膈	ge	E	O	O
内	nei	B	O	O
及	ji	E	O	O
右	you	B	O	O
肺	fei	E	O	O
门	men	S	O	O
多	duo	B	O	O
发	fa	E	O	O
结	jie	B	O	O
节	jie	E	O	O
影	ying	S	O	O
，	，	S	O	O
右	you	B	O	O
侧	ce	E	O	O
局	ju	B	O	O
部	bu	E	O	O
胸	xiong	B	O	O
膜	mo	E	O	O
增	zeng	B	O	O
厚	hou	E	O	O
；	；	S	O	O
超	chao	B	O	O
声	sheng	E	O	O
示	shi	S	O	O
：	：	S	O	O
肝	gan	B	O	O
大	da	E	O	O
不	bu	S	O	O
均	jun	B	O	O
匀	yun	E	O	O
性	xing	S	O	O
脂	zhi	B	O	O
肪	fang	I	O	O
肝	gan	E	O	O
，	，	S	O	O
多	duo	B	O	O
发	fa	E	O	O
实	shi	B	O	O
性	xing	E	O	O
站	zhan	B	O	O
位	wei	E	O	O
性	xing	B	O	O
病	bing	I	O	O
变	bian	E	O	O
；	；	S	O	O
双	shuang	S	O	O
颈	jing	B	O	O
部	bu	E	O	O
及	ji	S	O	O
锁	suo	B	O	O
骨	gu	E	O	O
上	shang	S	O	O
多	duo	B	O	O
发	fa	E	O	O
肿	zhong	B	O	O
大	da	E	O	O
淋	lin	B	O	O
巴	ba	I	O	O
结	jie	E	O	O
。	。	S	O	O

1	1	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
女	nv	S	O	O
5	5	B	O	O
9	9	E	O	O
岁	sui	S	O	O

2	2	S	O	O
既	ji	B	O	O
往	wang	E	O	O
高	gao	B	DB	DB
血	xie	I	DI	DI
压	ya	E	DE	DE
病	bing	B	O	O
史	shi	E	O	O
1	1	B	O	O
0	0	E	O	O
年	nian	S	O	O
，	，	S	O	O
平	ping	B	O	O
时	shi	E	O	O
间	jian	B	O	O
断	duan	E	O	O
口	kou	B	O	O
服	fu	I	O	O
药	yao	I	O	O
物	wu	E	O	O
控	kong	B	O	O
制	zhi	E	O	O
（	（	S	O	O
具	ju	B	O	O
体	ti	E	O	O
药	yao	B	O	O
名	ming	E	O	O
药	yao	B	O	O
量	liang	E	O	O
不	bu	B	O	O
详	xiang	E	O	O
）	）	S	O	O
，	，	S	O	O
血	xie	B	O	O
压	ya	E	O	O
控	kong	B	O	O
制	zhi	E	O	O
不	bu	S	O	O
理	li	B	O	O
想	xiang	E	O	O
。	。	S	O	O

3	3	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
缘	yuan	B	O	O
于	yu	E	O	O
2	2	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
前	qian	S	O	O
无	wu	S	O	O
明	ming	B	O	O
显	xian	E	O	O
诱	you	B	O	O
因	yin	E	O	O
出	chu	B	O	O
现	xian	E	O	O
左	zuo	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
呈	cheng	S	O	O
阵	zhen	B	O	O
发	fa	I	O	O
性	xing	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
剧	ju	B	O	O
烈	lie	E	O	O
难	nan	B	O	O
忍	ren	E	O	O
。	。	S	O	O
疼	teng	B	SB	O
痛	tong	E	SE	O
向	xiang	S	O	O
左	zuo	B	O	O
侧	ce	E	O	O
腰	yao	B	O	O
部	bu	E	O	O
放	fang	B	SB	SB
射	she	E	SI	SI
痛	tong	S	SE	SE
。	。	S	O	O
伴	ban	B	O	O
有	you	E	O	O
恶	e	B	SB	SB
心	xin	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
呕	ou	B	SB	SB
吐	tu	E	SE	SE
。	。	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
尿	niao	B	O	O
频	pin	E	O	O
、	、	S	O	O
尿	niao	B	O	O
急	ji	E	O	O
、	、	S	O	O
尿	niao	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	S	O	O
肉	rou	B	O	O
眼	yan	E	O	O
血	xie	B	O	O
尿	niao	E	O	O
。	。	S	O	O
未	wei	B	O	O
予	yu	E	O	O
治	zhi	B	O	O
疗	liao	E	O	O
，	，	S	O	O
为	wei	B	O	O
求	qiu	E	O	O
诊	zhen	B	O	O
治	zhi	E	O	O
来	lai	B	O	O
到	dao	E	O	O
我	wo	B	O	O
院	yuan	E	O	O
就	jiu	B	O	O
诊	zhen	E	O	O
，	，	S	O	O
门	men	B	O	O
诊	zhen	E	O	O
经	jing	S	O	O
泌	mi	B	O	O
尿	niao	I	O	O
系	xi	E	O	O
超	chao	B	O	O
声	sheng	E	O	O
、	、	S	O	O
尿	niao	B	O	O
常	chang	I	O	O
规	gui	E	O	O
检	jian	B	O	O
查	cha	E	O	O
后	hou	B	O	O
以	yi	E	O	O
左	zuo	B	DB	DB
侧	ce	E	DI	DI
输	shu	B	DI	DI
尿	niao	I	DI	DI
管	guan	E	DI	DI
结	jie	B	DI	DI
石	shi	E	DE	DE
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O
4	4	S	O	O
.	.	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
6	6	I	O	O
.	.	I	O	O
9	9	E	O	O
C	C	S	O	O
，	，	S	O	O
P	P	S	O	O
:	:	S	O	O
9	9	B	O	O
6	6	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
R	R	S	O	O
：	：	S	O	O
2	2	B	O	O
0	0	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
B	B	B	O	O
p	p	E	O	O
：	：	S	O	O
1	1	B	O	O
7	7	I	O	O
0	0	E	O	O
/	/	S	O	O
1	1	B	O	O
2	2	I	O	O
0	0	I	O	O
m	m	I	O	O
m	m	I	O	O
H	H	I	O	O
g	g	E	O	O
。	。	S	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	B	O	O
楚	chu	E	O	O
，	，	S	O	O
问	wen	B	O	O
答	da	E	O	O
切	qie	B	O	O
题	ti	E	O	O
，	，	S	O	O
查	cha	B	O	O
体	ti	E	O	O
合	he	B	O	O
作	zuo	E	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
正	zheng	B	O	O
大	da	E	O	O
等	deng	S	O	O
圆	yuan	S	O	O
，	，	S	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
。	。	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	B	O	O
罗	luo	I	O	O
音	yin	E	O	O
。	。	S	O	O
心	xin	B	O	O
前	qian	E	O	O
区	qu	S	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
震	zhen	B	O	O
颤	zhan	E	O	O
，	，	S	O	O
叩	kou	B	O	O
心	xin	I	O	O
界	jie	E	O	O
不	bu	B	O	O
大	da	E	O	O
，	，	S	O	O
心	xin	B	O	O
率	lv	E	O	O
6	6	B	O	O
4	4	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	SB	SB
脉	mai	I	SI	SI
曲	qu	I	SI	SI
张	zhang	E	SE	SE
。	。	S	O	O
腹	fu	B	O	O
软	ruan	E	O	O
，	，	S	O	O
肝	gan	B	O	O
脾	pi	I	O	O
未	wei	E	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	O	SB
大	da	E	O	SE
，	，	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	B	O	O
反	fan	E	O	O
跳	tiao	S	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	O	O
块	kuai	E	O	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
（	（	S	O	O
4	4	S	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
）	）	S	O	O
。	。	S	O	O
5	5	S	O	O

专	zhuan	B	O	O
科	ke	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
：	：	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肋	lei	S	O	O
脊	ji	B	O	O
角	jiao	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
双	shuang	S	O	O
肾	shen	B	O	O
区	qu	E	O	O
无	wu	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	SB	SB
块	kuai	E	SE	SE
。	。	S	O	O
右	you	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
沿	yan	S	O	O
输	shu	B	O	O
尿	niao	I	O	O
管	guan	E	O	O
走	zou	B	O	O
行	xing	I	O	O
区	qu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
左	zuo	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
沿	yan	S	O	O
输	shu	B	O	O
尿	niao	I	O	O
管	guan	E	O	O
走	zou	B	O	O
行	xing	I	O	O
区	qu	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
耻	chi	B	O	O
骨	gu	E	O	O
上	shang	S	O	O
膀	bang	B	O	O
胱	guang	E	O	O
区	qu	S	O	O
无	wu	S	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
。	。	S	O	O
外	wai	B	O	O
阴	yin	E	O	O
为	wei	S	O	O
成	cheng	B	O	O
人	ren	I	O	O
型	xing	E	O	O
，	，	S	O	O
尿	niao	B	O	O
道	dao	E	O	O
外	wai	B	O	O
口	kou	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
红	hong	B	SB	SB
肿	zhong	E	SI	SE
及	ji	S	SI	O
狭	xia	B	SI	SB
窄	zhai	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
异	yi	B	O	O
常	chang	E	O	O
分	fen	B	O	O
泌	mi	I	O	O
物	wu	E	O	O
。	。	S	O	O
6	6	S	O	O

辅	fu	B	O	O
助	zhu	E	O	O
检	jian	B	O	O
查	cha	E	O	O
：	：	S	O	O
彩	cai	B	O	O
超	chao	E	O	O
检	jian	B	O	O
查	cha	E	O	O
回	hui	B	O	O
报	bao	E	O	O
：	：	S	O	O
左	zuo	S	O	O
输	shu	B	O	O
尿	niao	I	O	O
管	guan	E	O	O
结	jie	B	O	O
石	shi	E	O	O
。	。	S	O	O
尿	niao	B	O	O
常	chang	I	O	O
规	gui	E	O	O
回	hui	B	O	O
报	bao	E	O	O
示	shi	S	O	O
：	：	S	O	O
红	hong	B	O	O
细	xi	I	O	O
胞	bao	E	O	O
1	1	B	O	O
0	0	I	O	O
9	9	I	O	O
2	2	E	O	O
/	/	S	O	O
u	u	B	O	O
l	l	E	O	O
，	，	S	O	O
白	bai	B	O	O
细	xi	I	O	O
胞	bao	E	O	O
4	4	B	O	O
8	8	E	O	O
/	/	S	O	O
u	u	B	O	O
l	l	E	O	O
,	,	S	O	O
潜	qian	B	O	O
血	xie	E	O	O
3	3	S	O	O
+	+	S	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
缘	yuan	B	O	O
于	yu	E	O	O
3	3	S	O	O
年	nian	B	O	O
前	qian	E	O	O
出	chu	B	O	O
现	xian	E	O	O
排	pai	B	O	O
便	bian	E	O	O
困	kun	B	O	O
难	nan	E	O	O
，	，	S	O	O
大	da	B	O	O
便	bian	E	O	O
干	gan	B	O	O
燥	zao	E	O	O
，	，	S	O	O
排	pai	B	O	O
便	bian	E	O	O
无	wu	B	O	O
力	li	E	O	O
。	。	S	O	O
自	zi	B	O	O
行	xing	E	O	O
保	bao	B	O	O
守	shou	E	O	O
治	zhi	B	O	O
疗	liao	E	O	O
。	。	S	O	O
今	jin	B	O	O
来	lai	E	O	O
我	wo	B	O	O
院	yuan	E	O	O
就	jiu	B	O	O
诊	zhen	E	O	O
。	。	S	O	O
门	men	B	O	O
诊	zhen	E	O	O
以	yi	S	O	O
混	hun	B	DB	O
合	he	E	DI	O
痔	zhi	S	DE	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O
查	cha	S	O	O
：	：	S	O	O
肛	gang	B	O	O
门	men	E	O	O
胸	xiong	B	O	O
膝	xi	I	O	O
位	wei	E	O	O
6	6	S	O	O
点	dian	S	O	O
、	、	S	O	O
1	1	B	O	O
2	2	E	O	O
点	dian	S	O	O
可	ke	B	O	O
见	jian	E	O	O
有	you	S	O	O
肿	zhong	B	O	SB
物	wu	E	O	SE
脱	tuo	B	O	O
出	chu	E	O	O
肛	gang	B	O	O
门	men	E	O	O
缘	yuan	S	O	O
，	，	S	O	O
各	ge	S	O	O
大	da	B	O	O
约	yue	E	O	O
2	2	S	O	O
厘	li	B	O	O
米	mi	E	O	O
大	da	B	O	O
小	xiao	E	O	O
，	，	S	O	O
肛	gang	B	O	O
门	men	E	O	O
指	zhi	B	O	O
诊	zhen	E	O	O
：	：	S	O	O
距	ju	B	O	O
离	li	E	O	O
肛	gang	B	O	O
门	men	E	O	O
缘	yuan	S	O	O
大	da	B	O	O
约	yue	E	O	O
3	3	S	O	O
厘	li	B	O	O
米	mi	E	O	O
可	ke	S	O	O
触	chu	B	O	O
及	ji	E	O	O
空	kong	B	O	O
虚	xu	I	O	O
感	gan	E	O	O
，	，	S	O	O
深	shen	B	O	O
度	du	E	O	O
大	da	B	O	O
约	yue	E	O	O
2	2	S	O	O
厘	li	B	O	O
米	mi	E	O	O
，	，	S	O	O
直	zhi	B	O	O
肠	chang	I	O	O
镜	jing	E	O	O
检	jian	B	O	O
查	cha	E	O	O
显	xian	B	O	O
示	shi	E	O	O
:	:	S	O	O
3	3	S	O	O
、	、	S	O	O
5	5	S	O	O
、	、	S	O	O
7	7	S	O	O
、	、	S	O	O
9	9	S	O	O
、	、	S	O	O
1	1	B	O	O
1	1	E	O	O
点	dian	B	O	O
有	you	E	O	O
痔	zhi	B	O	O
核	he	E	O	O
，	，	S	O	O
累	lei	B	O	O
及	ji	E	O	O
齿	chi	B	O	O
线	xian	E	O	O
上	shang	B	O	O
下	xia	E	O	O
，	，	S	O	O
色	se	S	O	O
青	qing	B	O	O
紫	zi	E	O	O
。	。	S	O	O

主	zhu	B	O	O
因	yin	E	O	O
排	pai	B	O	O
便	bian	E	O	O
困	kun	B	O	O
难	nan	E	O	O
3	3	S	O	O
年	nian	S	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O
查	cha	S	O	O
：	：	S	O	O
肛	gang	B	O	O
门	men	E	O	O
胸	xiong	B	O	O
膝	xi	I	O	O
位	wei	E	O	O
6	6	S	O	O
点	dian	S	O	O
、	、	S	O	O
1	1	B	O	O
2	2	E	O	O
点	dian	S	O	O
可	ke	B	O	O
见	jian	E	O	O
有	you	S	O	O
肿	zhong	B	O	SB
物	wu	E	O	SE
脱	tuo	B	O	O
出	chu	E	O	O
肛	gang	B	O	O
门	men	E	O	O
缘	yuan	S	O	O
，	，	S	O	O
各	ge	S	O	O
大	da	B	O	O
约	yue	E	O	O
2	2	S	O	O
厘	li	B	O	O
米	mi	E	O	O
大	da	B	O	O
小	xiao	E	O	O
，	，	S	O	O
肛	gang	B	O	O
门	men	E	O	O
指	zhi	B	O	O
诊	zhen	E	O	O
：	：	S	O	O
距	ju	B	O	O
离	li	E	O	O
肛	gang	B	O	O
门	men	E	O	O
缘	yuan	S	O	O
大	da	B	O	O
约	yue	E	O	O
3	3	S	O	O
厘	li	B	O	O
米	mi	E	O	O
可	ke	S	O	O
触	chu	B	O	O
及	ji	E	O	O
空	kong	B	O	O
虚	xu	I	O	O
感	gan	E	O	O
，	，	S	O	O
深	shen	B	O	O
度	du	E	O	O
大	da	B	O	O
约	yue	E	O	O
2	2	S	O	O
厘	li	B	O	O
米	mi	E	O	O
，	，	S	O	O
直	zhi	B	O	O
肠	chang	I	O	O
镜	jing	E	O	O
检	jian	B	O	O
查	cha	E	O	O
显	xian	B	O	O
示	shi	E	O	O
:	:	S	O	O
3	3	S	O	O
、	、	S	O	O
5	5	S	O	O
、	、	S	O	O
7	7	S	O	O
、	、	S	O	O
9	9	S	O	O
